pipe_id,latitude,longitude,material,diameter,installation_year,age,soil_type,pressure,depth,prev_repairs,last_inspection,traffic_load,elevation,ground_movement_risk,water_proximity,temp_fluctuation
P0036,37.65706845082738,-119.96895449706736,Cast Iron,medium (8-12),1931,92,Rocky,66.94,3.72,4,814,4,900.101859343126,6.57644789872172,64.96771666113843,11.188881794405216
P0037,36.841502083175946,-118.15844234323862,PVC,medium (8-12),1949,74,Rocky,37.17,6.58,5,345,10,33.823346326256164,5.325323550659218,2381.6852352678984,27.409921864734827
P0038,38.069183404159574,-119.1881688717131,Ductile Iron,small (2-6),1967,56,Clay,100.27,6.68,3,419,6,271.3257317526845,7.8936531390307705,1099.1870556137467,41.733985432955876
P0039,40.45616249552367,-121.01246266712315,Cast Iron,small (2-6),1953,70,Rocky,33.28,3.57,7,762,3,68.62548966235993,6.898665040790376,1882.109796786598,13.567750259528317
P0040,34.85815120619294,-118.43486448203875,Cast Iron,small (2-6),1972,51,Clay,56.96,5.79,3,989,7,783.4737056258001,5.147221395723146,233.48514895947525,41.42321455919855
P0041,35.819176490968665,-119.58356580136552,Ductile Iron,small (2-6),1967,56,Rocky,63.51,5.41,2,924,7,216.42746449211324,4.939361905165899,2600.27272522962,9.291896910060295
P0042,41.48809689026951,-120.5802521790626,Cast Iron,medium (8-12),1942,81,Rocky,64.06,3.52,4,95,8,241.03681771955664,3.4242363815894405,1783.722176001155,46.4038164093434
P0043,40.38708871338642,-120.32957293900623,Ductile Iron,small (2-6),1944,79,Silt,96.11,4.3,4,904,2,624.1056629750166,7.653537270755213,2884.7668603558664,20.65604027445874
P0044,40.68014618975985,-122.19513948664994,Asbestos Cement,large (14-24),1960,63,Clay,115.22,6.49,3,665,10,1.755061963854998,1.721185478099726,2358.8784717750104,26.660933884833824
P0045,36.349856836263044,-119.27661861321116,Asbestos Cement,small (2-6),1921,102,Sandy,29.65,5.47,7,692,4,486.95331267089114,5.280383275402251,1376.0385043722729,8.58692332530915
P0046,39.824366292587044,-123.78337809378203,Asbestos Cement,small (2-6),1946,77,Sandy,18.1,3.81,6,295,1,65.03663032019024,6.261729388605675,3454.5556651416746,13.293322736177545
P0047,36.42153873076415,-117.09828172826599,Ductile Iron,medium (8-12),1948,75,Silt,33.83,6.45,4,373,6,689.684798553662,4.036133245253426,749.8584468455083,19.044926604381672
P0048,36.99549612177267,-121.21502400669134,Cast Iron,medium (8-12),1945,78,Rocky,45.24,6.22,6,982,7,404.25563589065547,5.630836159520449,4474.759505789205,5.340932580664386
P0049,35.4952582093908,-118.83534143005896,Asbestos Cement,small (2-6),1935,88,Clay,68.64,3.11,9,376,10,562.3685884048544,1.8973278019180506,1250.9657585173034,12.482010488332946
P0050,35.32152732632138,-115.54537087223504,Asbestos Cement,medium (8-12),1957,66,Sandy,34.01,7.91,5,884,3,202.79682858193382,3.1838598106129465,142.0175387223377,30.14064074191665
P0051,37.37054085465683,-122.07796697696354,Cast Iron,small (2-6),1967,56,Silt,77.35,7.64,3,61,1,940.9102845054648,8.405706390138143,4681.004225350668,10.038138739658848
P0052,33.96201111022862,-115.93375218759851,Cast Iron,small (2-6),1971,52,Silt,34.64,7.78,4,983,6,170.45347792848077,4.45286768931671,3692.657618572265,47.126424373742786
P0053,34.9676609457231,-116.90408880626985,Steel,small (2-6),1945,78,Loam,51.67,5.96,7,352,9,533.3041442168393,2.953891938453943,3757.6231864872034,10.756240594335697
P0054,41.335858329842516,-123.38874201479987,Ductile Iron,small (2-6),1964,59,Clay,89.37,3.97,1,16,8,879.5732560649302,3.525586334215305,577.0022437540906,7.884208244789301
P0055,34.96813402010952,-117.84294011745408,PVC,large (14-24),1950,73,Sandy,89.71,7.66,3,730,1,762.4587987656519,1.1175676558146452,4421.848156215792,35.19446533893511
P0056,33.209596968699614,-115.5496460784142,Asbestos Cement,medium (8-12),1986,37,Clay,37.62,4.26,0,737,4,144.325106071967,9.648522398968396,4874.706004135279,41.39696598647191
P0057,36.548722371241745,-119.76043624453841,Cast Iron,large (14-24),1953,70,Silt,81.09,5.16,4,569,6,797.856692838332,9.106056344918853,3060.704010258173,42.08936048122688
P0058,34.26249239917965,-115.37945673646608,Asbestos Cement,large (14-24),1948,75,Clay,51.04,5.41,1,520,6,50.10158109363771,8.984380659377102,3115.688087687538,9.068993531168962
P0059,38.68943493462152,-121.07778262850321,Ductile Iron,small (2-6),1959,64,Sandy,25.57,6.61,6,587,9,61.64156991711178,3.0350796291043247,2732.4748121686657,7.717106205967724
P0060,37.08238562474012,-122.29132941085189,Cast Iron,large (14-24),1962,61,Sandy,61.7,3.21,4,222,9,297.76929635142426,2.1947641258658424,3369.786923691644,49.08172587482873
P0061,35.72477682915666,-115.94433630566162,Cast Iron,large (14-24),1934,89,Rocky,81.3,3.41,2,121,3,153.77581294576504,1.6192245109522663,2779.5123114550315,37.33672354666459
P0062,41.77071993028175,-120.96259418640338,Cast Iron,large (14-24),1933,90,Clay,26.3,3.36,1,861,5,550.6893626074643,9.414794630964897,4168.47580152155,48.57879478449045
P0063,36.542186677256716,-120.86768257825689,Steel,very large (>24),1953,70,Rocky,73.14,7.37,5,529,8,801.7887164471366,4.541567269902745,334.93020635069314,35.88939675756089
P0064,40.44198160592149,-122.0241830134283,Asbestos Cement,small (2-6),1958,65,Loam,44.39,5.03,3,890,9,447.2378691515039,0.45642792066996507,1039.9925256734305,13.079488242508882
P0065,41.70941706218523,-121.78959895663816,Ductile Iron,small (2-6),1951,72,Clay,41.03,4.69,5,686,5,405.7891266509477,7.575217989919737,575.8436761027763,36.9060549468814
P0066,41.873583313393034,-123.20880651043892,Cast Iron,small (2-6),1928,95,Clay,94.41,5.4,2,1062,8,498.23068109955915,0.19415631604782657,4145.9276924446685,25.578777164525576
P0067,37.398162271502876,-119.36711090730233,Ductile Iron,small (2-6),1948,75,Rocky,27.61,3.47,7,113,2,749.8059302165776,2.871429411809939,1986.5964862232843,18.72256994972374
P0068,38.92687716488384,-122.23541089982398,Ductile Iron,small (2-6),1934,89,Clay,45.29,6.91,9,821,7,525.5707736328307,4.77455824088,830.6155590056225,7.9303478306172694
P0069,35.98138458127828,-120.34018673810282,Ductile Iron,small (2-6),1959,64,Clay,23.52,6.34,5,628,10,956.7660632416197,0.34653723379326373,867.6981075105672,29.766776091776553
P0070,37.50292607405512,-121.91626858262102,Steel,small (2-6),1968,55,Silt,69.4,7.77,2,140,6,579.9272416617837,5.0563587406758135,1998.8384763506313,16.65285531239062
P0071,37.55647202672088,-118.40021344074063,Cast Iron,medium (8-12),1956,67,Rocky,48.04,4.48,4,558,7,853.3045864402998,7.817418402516639,2815.7257753115105,31.98919457375478
P0072,38.64275617751717,-122.66487885031253,Steel,very large (>24),1940,83,Rocky,56.72,6.83,2,482,2,849.9618149572583,7.453364259735147,4113.344066767082,36.975973578755045
P0073,36.99247367351523,-118.87873993065206,Cast Iron,small (2-6),1955,68,Rocky,25.39,3.71,4,458,7,830.1256905293341,8.125345458190486,2644.3939968798422,44.67504634917609
P0074,35.740355232505095,-115.90357590024806,Ductile Iron,small (2-6),1947,76,Rocky,18.88,6.09,3,159,5,991.6844560041292,4.270600586937203,475.9833409869074,36.38664214192842
P0075,35.075900646751755,-118.27547408763905,Ductile Iron,small (2-6),1938,85,Sandy,31.02,6.17,5,979,3,754.0075643580101,6.792062540736021,3997.176445430583,24.001576538801
P0076,41.3081892850548,-122.03625814051773,Steel,small (2-6),1948,75,Rocky,65.63,3.45,5,480,7,793.0234754340296,9.218750237091518,4507.585849884923,25.989411393258827
P0077,37.761121286767576,-121.29199473809075,Steel,small (2-6),1935,88,Silt,38.84,3.58,7,577,2,398.4301004690257,2.2225786522596636,2067.158852203034,35.3874042479908
P0078,34.62433712771496,-114.44810967710683,HDPE,very large (>24),1981,42,Clay,42.11,7.15,4,916,2,212.26827119181945,9.341890537593049,1653.6084704614445,25.663076621529825
P0079,37.30802177104413,-122.0582107371635,Cast Iron,large (14-24),1962,61,Sandy,47.73,4.93,2,381,2,610.8740193500606,9.184104582732132,1003.6436281863614,40.19954847042482
P0080,33.04891532946548,-117.20213009698519,Asbestos Cement,small (2-6),1946,77,Rocky,33.0,5.55,7,767,3,934.7154450444302,7.773098993349013,2793.5006832134486,39.31898808228719
P0081,35.993713833334255,-120.15163759844627,Asbestos Cement,medium (8-12),1971,52,Rocky,49.06,3.06,5,699,5,727.0595823939997,3.0977252046804904,2625.20790021198,38.82687704838426
P0082,40.521392286026355,-123.47013290176544,Steel,small (2-6),1932,91,Sandy,94.27,6.93,8,231,5,715.4636244653719,3.094630459514114,858.985445710036,26.019910020544007
P0083,36.170314643558996,-119.77369345959252,Cast Iron,large (14-24),1964,59,Loam,65.98,3.53,0,147,5,841.421017179889,4.741642334405119,3572.9464418573684,45.40418125624493
P0084,36.18215469908631,-119.64955716495497,Asbestos Cement,very large (>24),1973,50,Rocky,77.52,3.34,1,367,1,833.6536948597096,9.858608919236696,2664.8399505424513,37.39198116311247
P0085,35.306725386035495,-116.4231569476996,Ductile Iron,small (2-6),1944,79,Rocky,35.17,6.99,7,782,1,315.81764867266094,0.8427816902044971,1227.1768111733677,23.70866451289761
P0086,41.316794583097476,-122.14153607563955,Steel,small (2-6),1942,81,Clay,49.93,7.43,8,301,8,915.3499772138325,6.9313413057973605,1447.556357736775,29.449348840009886
P0087,39.65527969117733,-121.67202136782873,PVC,medium (8-12),1959,64,Loam,38.09,6.79,3,1053,7,559.5802060760506,5.987392638097989,2539.5677979862994,49.7911135955598
P0088,35.453824835071764,-116.70534546898865,Asbestos Cement,medium (8-12),1930,93,Silt,13.32,7.16,1,1043,3,804.6715261401623,7.962994035293978,1242.3963605915883,12.565056375622614
P0089,36.161070888949936,-117.74466561092626,Asbestos Cement,small (2-6),1963,60,Clay,38.66,5.01,3,697,7,387.8770207601898,7.167401201302036,4682.78740452732,26.206239787663456
P0090,37.12267779131565,-118.20662586053919,Ductile Iron,small (2-6),1950,73,Rocky,55.51,4.05,3,112,7,592.6623687745597,3.2611609150292855,4797.890042543583,29.509949879942486
P0091,34.74064719186503,-120.60006898033302,Cast Iron,large (14-24),1950,73,Rocky,23.46,7.96,6,253,6,96.09574298503598,9.85689196219505,4826.154412263903,38.934371995685126
P0092,35.094172694741715,-119.06017295449244,Cast Iron,very large (>24),1939,84,Clay,42.58,5.29,2,742,7,466.98109633505914,6.022704559971043,2012.126789430454,23.868125469533204
P0093,37.21638094737535,-119.91306762254061,Asbestos Cement,large (14-24),1966,57,Rocky,44.54,4.23,3,204,6,207.79950355544597,8.768822112712325,1644.311045456115,47.946620414011534
P0094,41.111155806771905,-123.03792360326526,PVC,small (2-6),1941,82,Silt,48.58,5.09,5,983,1,535.8705120070184,4.230095949544768,4190.838001833822,9.804431580368455
P0095,38.281009090616436,-120.83018309308841,Cast Iron,small (2-6),1942,81,Rocky,40.57,5.72,3,21,9,478.5594953211495,0.18268525404577796,1486.1033134387592,14.727025617310343
P0096,36.41177264505283,-117.66477859491498,PVC,small (2-6),1951,72,Rocky,83.11,4.29,3,375,8,833.2111732895054,5.8918743651712475,3223.6736587772825,41.048080167567136
P0097,40.77049503793707,-121.99263978049383,Steel,very large (>24),1953,70,Loam,53.42,4.9,4,475,9,565.8955200208956,0.6811339142608708,3737.142640486474,39.36081203685844
P0098,40.080184516351,-120.34231003704423,Asbestos Cement,medium (8-12),1931,92,Silt,62.33,4.38,3,612,5,287.7166678083618,3.058103282290181,3716.2085146695235,18.208151899250673
P0099,36.68307247449931,-118.03937073676708,Cast Iron,large (14-24),1937,86,Silt,76.14,7.41,2,130,1,296.8471394285823,0.7072422017046032,3373.864775089566,12.82489150306811
P0100,32.77895951147273,-115.8589363146744,Cast Iron,small (2-6),1985,38,Clay,28.08,7.94,3,981,3,356.3548301946059,8.330482528353475,127.93136986141762,26.396631513048785
P0101,33.328204944402394,-116.94968680278451,Steel,very large (>24),1932,91,Rocky,66.05,4.27,2,482,8,589.0312402553358,1.8280887580806515,937.0074622084945,34.506468895733185
P0102,34.087754108976604,-117.61953469823759,Asbestos Cement,small (2-6),1948,75,Sandy,38.97,6.82,5,209,3,985.0406122195056,9.176030186896615,3128.1006836730453,12.866543051952828
P0103,36.747027666161046,-119.66623815237978,Asbestos Cement,medium (8-12),1951,72,Clay,54.21,7.29,4,1086,9,96.81852563349203,7.429111177292688,3285.5569787021495,10.397758492839003
P0104,35.395135406168265,-115.7913560189821,Cast Iron,large (14-24),1946,77,Sandy,98.7,5.34,3,221,9,805.5331747740602,6.131824264378029,3252.4783972475193,47.80522172065474
P0105,32.95735694179436,-115.01960255048414,Asbestos Cement,medium (8-12),1958,65,Sandy,48.2,7.16,2,1058,1,614.1130013736055,5.149513705701908,1795.0727385969801,24.761737296655646
P0106,32.73884860363409,-117.20827021062756,Cast Iron,very large (>24),1970,53,Clay,30.04,5.23,3,771,6,172.04157020912047,6.020925587898263,1033.4723708791905,24.511240181343556
P0107,35.05510998535148,-120.22679494884022,Asbestos Cement,small (2-6),1953,70,Loam,22.29,5.35,5,554,4,302.2684068385497,9.8587818298841,4661.171972766609,22.357745006424526
P0108,37.37034339658596,-121.41836735631472,Asbestos Cement,small (2-6),1922,101,Loam,52.71,5.47,5,583,8,902.4445341743362,9.437895639847012,193.19711299073617,34.21406460686501
P0109,38.873958545053824,-121.78918083099272,Ductile Iron,small (2-6),1953,70,Silt,66.68,6.31,3,331,10,854.9106045265339,6.452004852313427,2035.3351502384949,39.14010580544799
P0110,35.550270422326975,-116.6265669734171,Steel,medium (8-12),1929,94,Clay,69.32,3.77,9,985,5,772.7368205027648,8.119975476126305,1086.5191593321056,5.099790550656267
P0111,35.76008985514025,-116.8436783807308,Ductile Iron,large (14-24),1929,94,Sandy,41.16,7.11,8,678,2,713.6024747021961,8.167413778267402,498.25147817877615,39.078102271357054
P0112,34.08517191613815,-119.97944194614682,Cast Iron,large (14-24),1955,68,Clay,83.78,4.56,3,832,4,977.905493794252,2.8831335480735207,1079.854413034429,28.41476545034254
P0113,41.29355463524069,-120.15142264455362,Steel,small (2-6),1959,64,Sandy,37.14,7.97,2,637,4,779.7369518764683,1.0684522965155874,299.2636286786132,46.54343391104017
P0114,37.0398452562113,-118.91129592293575,Cast Iron,small (2-6),1969,54,Loam,26.49,5.72,3,865,4,411.4932061335599,3.158125592314617,1362.56264806226,34.19973203123723
P0115,34.412465024313114,-120.35105369572466,Cast Iron,medium (8-12),1956,67,Silt,57.52,6.95,2,557,10,36.96233522086578,4.8630547399246336,3426.985677403402,8.520599976478938
P0116,41.46839989134128,-122.93764232124629,Steel,very large (>24),1965,58,Sandy,61.9,5.56,7,364,3,150.84595962557202,6.274383590098446,3149.608271555881,12.347221983310018
P0117,33.09334713938118,-115.22361998864636,Steel,medium (8-12),1928,95,Rocky,41.64,4.5,5,18,2,447.52409241721716,7.91875722384022,3278.875064873479,37.975492451740344
P0118,39.53452325355843,-123.0000719833412,Asbestos Cement,large (14-24),1957,66,Clay,31.1,5.04,1,909,2,13.067524367933459,3.993904519424812,791.1544030110413,21.38624424231773
P0119,33.572850605517104,-115.65821840731492,Cast Iron,medium (8-12),1939,84,Silt,78.77,4.46,2,320,1,614.9647497453982,6.384002625148804,3447.1222904162587,9.15749140020905
P0120,38.2331844124121,-120.74295211680774,Ductile Iron,small (2-6),1939,84,Rocky,51.34,6.57,6,849,8,433.40865789596273,7.486287605357809,494.6967298675048,18.90635193574669
P0121,39.6121297241989,-121.16533864975827,Cast Iron,medium (8-12),1934,89,Silt,27.72,4.23,3,136,2,922.8828327335168,1.5515566703681616,2267.0144748529788,6.449205035420308
P0122,35.47680521705886,-116.21620904635192,Asbestos Cement,small (2-6),1938,85,Rocky,11.32,6.52,0,22,5,260.9197891779422,2.9176578738322814,2000.7336381848013,34.728557826779834
P0123,36.61092679218719,-119.69415414582741,Cast Iron,small (2-6),1936,87,Clay,40.09,5.36,5,273,3,256.47074376605474,2.3744049975732997,461.72097103898744,48.8425152611326
P0124,35.498459765751825,-117.7292576577657,Steel,medium (8-12),1951,72,Clay,47.56,7.18,0,867,10,903.9343278954019,3.9224579256731165,425.6125717029785,9.176573904409006
P0125,32.798507304357095,-116.769895536862,Cast Iron,very large (>24),1930,93,Sandy,55.06,5.27,2,174,9,558.0039290856149,0.7453743647363475,2617.801472016289,7.511718179933097
P0126,35.80690813509874,-120.59673740348353,Cast Iron,small (2-6),1949,74,Silt,62.69,4.99,1,488,2,768.26758217219,6.62503549908116,1703.8259802325051,21.11966876290182
P0127,38.23127215429196,-119.52929074430342,Cast Iron,medium (8-12),1940,83,Rocky,56.66,4.02,7,1091,1,479.0691673552666,3.273734404647085,418.0786917298096,38.230931100970544
P0128,35.2597928038785,-119.56512318434167,Asbestos Cement,medium (8-12),1932,91,Sandy,105.45,4.37,4,989,6,499.72941164859486,4.614421391819901,1238.758715106158,18.65924354018446
P0129,32.974800772266946,-115.64167852745585,Asbestos Cement,large (14-24),1946,77,Loam,54.21,3.37,10,7,4,176.52934123618192,4.67973763160882,4158.90077497888,44.65990810278867
P0130,34.84973300028129,-117.77354057273668,Ductile Iron,small (2-6),1965,58,Clay,61.34,6.17,3,789,5,106.95393734747016,9.08439505846151,1939.6978693785966,22.167419803048464
P0131,34.835170673408456,-120.27097381614635,Asbestos Cement,small (2-6),1943,80,Loam,61.25,3.45,1,717,1,830.2398145626879,0.8862393148789915,141.52281748485095,45.732937117079786
P0132,39.9817163156584,-121.86448547574585,HDPE,small (2-6),1927,96,Clay,20.85,3.18,6,98,10,594.9958572235032,0.10370656277558066,4395.8445407024965,35.3337125619875
P0133,40.47676672923351,-122.98994932169445,Steel,very large (>24),1937,86,Silt,36.04,4.02,3,474,4,461.198327736007,7.173045129288091,820.7503194341186,27.698628223504446
P0134,35.3047971236516,-115.26528600735467,Steel,small (2-6),1953,70,Loam,34.79,7.66,4,679,7,678.6908827519399,8.053282117086647,2754.925210128368,30.269204124595532
P0135,35.44580311425617,-116.81689026607576,Ductile Iron,small (2-6),1939,84,Sandy,51.96,3.63,5,752,7,908.2105724146126,0.24075728237456628,3339.90770845011,15.113573111010364
P0136,34.08955238801008,-116.30336696703165,Ductile Iron,very large (>24),1925,98,Clay,104.42,7.66,10,581,6,72.38918986800513,2.0070621925140983,37.94373930509687,13.706704224116642
P0137,38.81888884526485,-122.8480740599808,Cast Iron,large (14-24),1973,50,Loam,13.99,4.94,1,42,4,274.0277969405628,6.678104671440714,615.0595047430746,39.75073274445309
P0138,33.68163689679258,-116.12575271435941,Ductile Iron,large (14-24),1959,64,Rocky,12.24,5.41,4,451,7,311.69163534403197,2.64743324174204,3669.96100688876,21.202448016347397
P0139,35.50722182004476,-115.92768675786718,PVC,small (2-6),1967,56,Clay,48.9,3.1,2,901,1,832.0697354019593,7.879997358520212,1172.2891013196474,21.049883912915437
P0140,38.252295282850824,-121.90511867605538,Steel,small (2-6),1981,42,Sandy,35.6,6.93,5,201,1,584.0198219938992,7.823674867089075,4089.0535803555435,27.018533587228205
P0141,34.30324537823548,-118.38707608402781,Cast Iron,medium (8-12),1948,75,Rocky,122.28,6.45,2,229,4,829.0727794151114,0.31337070288243396,3915.28989060995,37.867768316386325
P0142,38.66079579112754,-121.69227870749582,Cast Iron,very large (>24),1974,49,Sandy,62.31,7.73,1,661,3,328.44765829086884,9.44587694100914,4980.160653242807,18.804502126300964
P0143,40.888441335882845,-122.37235734157889,Ductile Iron,medium (8-12),1928,95,Sandy,45.73,7.79,5,369,6,824.8090802974167,1.9115903779971322,2065.8650550465245,37.175373704324855
P0144,33.30086248880783,-116.02451215269252,Asbestos Cement,large (14-24),1940,83,Clay,59.33,7.09,2,736,9,929.806269973278,2.791806452621526,3666.419816740561,24.514208729010427
P0145,41.15609870921075,-120.77396127716545,Steel,small (2-6),1954,69,Silt,43.83,6.93,4,493,10,699.1093098162307,2.1989210893814946,271.85030003506694,19.764062680521306
P0146,40.09732825766618,-120.99712871519505,Asbestos Cement,very large (>24),1965,58,Loam,25.92,5.1,3,255,7,711.657351466219,2.7424732478995573,2997.707456923114,48.88668175168317
P0147,41.30755097415506,-123.39337120986805,Asbestos Cement,small (2-6),1956,67,Clay,36.82,6.32,4,195,8,983.3544906278028,7.679106766537876,4767.201868770433,35.1057605889776
P0148,37.7571117847246,-121.82373638639373,Asbestos Cement,small (2-6),1947,76,Rocky,22.67,4.16,2,108,3,651.8595270126714,0.27434086197232643,2017.1455283700673,33.3470115442035
P0149,35.81445571289733,-119.02320634188074,Asbestos Cement,large (14-24),2000,23,Sandy,27.38,5.06,1,1068,1,379.14254470206333,5.929777524218536,1191.56504259682,26.600823548128716
P0150,35.31947347918858,-118.81561909334867,Cast Iron,small (2-6),1952,71,Rocky,41.38,3.83,2,411,8,304.14684038047056,1.8348651673403915,2885.2788891668074,30.96491617958319
P0151,36.44986348347156,-119.99608449898349,PVC,medium (8-12),1942,81,Silt,23.88,5.66,2,924,7,90.1232589394374,8.875382641283426,2006.597152617281,7.79619943822054
